date,Thu,Jun,11,11:40:25,am,2015,,,,,,,,,,,,,,,2
base,hex,timestamps,absolute,,,,,,,,,,,,,,,,,,
internal,events,logged,,,,,,,,,,,,,,,,,,,
//,version,7.5.0,,,,,,,,,,,,,,,,,,,
Begin,Triggerblock,Thu,Jun,11,11:40:25,am,2015,,,,,,,,,,,,,,
,0,Start,of,measurement,,,,,,,,,,,,,,,,,
,0.003992,CAN,1,Status:chip,status,error,active,,,,,,,,,,,,,,
,0.004192,CAN,2,Status:chip,status,error,active,,,,,,,,,,,,,,
0.018511,1,402,Rx,d,8,54,A3,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,4.1812
0.056258,1,402,Rx,d,8,54,A3,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,4.1812
0.104255,1,402,Rx,d,8,54,A3,2,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1812
0.304252,1,402,Rx,d,8,54,A3,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,4.1812
0.504243,1,402,Rx,d,8,52,A3,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.181
0.70424,1,402,Rx,d,8,54,A3,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,4.1812
0.90423,1,402,Rx,d,8,53,A3,0,0,0,0,1,0,Length,=,232000,BitCount,=,120,,4.1811
1.104226,1,402,Rx,d,8,55,A3,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,4.1813
1.304222,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
1.504214,1,402,Rx,d,8,52,A3,1,0,1,0,1,0,Length,=,232000,BitCount,=,120,,4.181
1.704211,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
1.904205,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
2.104199,1,402,Rx,d,8,53,A3,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
2.304195,1,402,Rx,d,8,53,A3,1,0,0,0,1,0,Length,=,234000,BitCount,=,121,,4.1811
2.504189,1,402,Rx,d,8,54,A3,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,4.1812
2.704184,1,402,Rx,d,8,53,A3,1,0,0,0,1,0,Length,=,234000,BitCount,=,121,,4.1811
2.904181,1,402,Rx,d,8,54,A3,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,4.1812
3.10417,1,402,Rx,d,8,52,A3,0,0,0,0,1,0,Length,=,232000,BitCount,=,120,,4.181
3.304165,1,402,Rx,d,8,54,A3,1,0,0,0,1,0,Length,=,232000,BitCount,=,120,,4.1812
3.504162,1,402,Rx,d,8,53,A3,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
3.704156,1,402,Rx,d,8,53,A3,0,0,1,0,1,0,Length,=,234000,BitCount,=,121,,4.1811
3.904148,1,402,Rx,d,8,53,A3,2,0,2,0,1,0,Length,=,232000,BitCount,=,120,,4.1811
4.104145,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
4.304141,1,402,Rx,d,8,53,A3,2,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
4.504134,1,402,Rx,d,8,53,A3,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
4.704132,1,402,Rx,d,8,54,A3,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,4.1812
4.904123,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
5.104117,1,402,Rx,d,8,53,A3,0,0,0,0,1,0,Length,=,232000,BitCount,=,120,,4.1811
5.304113,1,402,Rx,d,8,53,A3,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
5.504106,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
5.704102,1,402,Rx,d,8,53,A3,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
5.904097,1,402,Rx,d,8,53,A3,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,4.1811
6.104094,1,402,Rx,d,8,2D,9F,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,4.0749
6.304087,1,402,Rx,d,8,97,94,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8039
6.504078,1,402,Rx,d,8,78,99,0,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.9288
6.704072,1,402,Rx,d,8,63,99,0,0,0,0,1,0,Length,=,232000,BitCount,=,120,,3.9267
6.904072,1,402,Rx,d,8,4D,99,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.9245
7.104063,1,402,Rx,d,8,48,99,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.924
7.304059,1,402,Rx,d,8,35,99,1,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.9221
7.504055,1,402,Rx,d,8,2B,99,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.9211
7.704047,1,402,Rx,d,8,21,99,1,0,1,0,1,0,Length,=,234000,BitCount,=,121,,3.9201
7.904043,1,402,Rx,d,8,19,99,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.9193
8.104038,1,402,Rx,d,8,12,99,0,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.9186
8.304032,1,402,Rx,d,8,5,99,1,0,1,0,0,0,Length,=,236000,BitCount,=,122,,0.2453
8.504029,1,402,Rx,d,8,FA,98,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.9162
8.70402,1,402,Rx,d,8,F4,98,2,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.9156
8.904014,1,402,Rx,d,8,E9,98,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.9145
9.104013,1,402,Rx,d,8,DA,98,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.913
9.304005,1,402,Rx,d,8,D8,98,0,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.9128
9.504003,1,402,Rx,d,8,D0,98,0,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.912
9.703999,1,402,Rx,d,8,CC,98,1,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.9116
9.903986,1,402,Rx,d,8,C5,98,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.9109
10.103984,1,402,Rx,d,8,C0,98,0,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.9104
10.303979,1,402,Rx,d,8,B3,98,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.9091
10.503971,1,402,Rx,d,8,AA,98,2,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.9082
10.703967,1,402,Rx,d,8,A2,98,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.9074
10.90396,1,402,Rx,d,8,9D,98,1,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.9069
11.103961,1,402,Rx,d,8,9E,98,0,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.907
11.30395,1,402,Rx,d,8,8E,98,1,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.9054
11.503947,1,402,Rx,d,8,8D,98,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.9053
11.703942,1,402,Rx,d,8,81,98,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.9041
11.903937,1,402,Rx,d,8,80,98,2,0,1,0,0,0,Length,=,238000,BitCount,=,123,,3.904
12.103925,1,402,Rx,d,8,7A,98,2,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.9034
12.303924,1,402,Rx,d,8,71,98,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.9025
12.503918,1,402,Rx,d,8,6D,98,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.9021
12.703915,1,402,Rx,d,8,67,98,0,0,1,0,1,0,Length,=,238000,BitCount,=,123,,3.9015
12.903911,1,402,Rx,d,8,5F,98,1,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.9007
13.103902,1,402,Rx,d,8,5C,98,2,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.9004
13.303898,1,402,Rx,d,8,52,98,0,0,2,0,0,0,Length,=,238000,BitCount,=,123,,3.8994
13.50389,1,402,Rx,d,8,53,98,1,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.8995
13.703886,1,402,Rx,d,8,4A,98,0,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.8986
13.903879,1,402,Rx,d,8,47,98,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8983
14.10388,1,402,Rx,d,8,3F,98,1,0,0,0,0,0,Length,=,242000,BitCount,=,125,,3.8975
14.303873,1,402,Rx,d,8,3C,98,1,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.8972
14.503872,1,402,Rx,d,8,39,98,1,0,0,0,0,0,Length,=,244000,BitCount,=,126,,3.8969
14.703857,1,402,Rx,d,8,33,98,2,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8963
14.903854,1,402,Rx,d,8,2E,98,0,0,0,0,1,0,Length,=,238000,BitCount,=,123,,3.8958
15.103849,1,402,Rx,d,8,27,98,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8951
15.303841,1,402,Rx,d,8,1C,98,1,0,1,0,1,0,Length,=,236000,BitCount,=,122,,3.894
15.503841,1,402,Rx,d,8,23,98,1,0,0,0,0,0,Length,=,242000,BitCount,=,125,,3.8947
15.703835,1,402,Rx,d,8,1E,98,0,0,1,0,0,0,Length,=,240000,BitCount,=,124,,3.8942
15.903824,1,402,Rx,d,8,18,98,1,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.8936
16.10382,1,402,Rx,d,8,11,98,0,0,1,0,1,0,Length,=,236000,BitCount,=,122,,3.8929
16.303818,1,402,Rx,d,8,0B,98,0,0,1,0,0,0,Length,=,240000,BitCount,=,124,,3.8923
16.503811,1,402,Rx,d,8,4,98,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,0.2436
16.703803,1,402,Rx,d,8,FC,97,1,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.8908
16.903798,1,402,Rx,d,8,FE,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.891
17.103793,1,402,Rx,d,8,F6,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8902
17.303784,1,402,Rx,d,8,F1,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8897
17.503779,1,402,Rx,d,8,EB,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8891
17.703774,1,402,Rx,d,8,EE,97,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8894
17.90377,1,402,Rx,d,8,E7,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8887
18.103763,1,402,Rx,d,8,DE,97,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8878
18.303756,1,402,Rx,d,8,D9,97,1,0,0,0,1,0,Length,=,232000,BitCount,=,120,,3.8873
18.503752,1,402,Rx,d,8,DD,97,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8877
