time,ms,motvel,vehvel,
Wed Jun 25 08:16:49 EDT 2014,1403698609195,0.0,0.0,
Wed Jun 25 08:16:49 EDT 2014,1403698609401,0.0,0.0,
Wed Jun 25 08:16:49 EDT 2014,1403698609791,0.0,0.0,
Wed Jun 25 08:16:49 EDT 2014,1403698609959,0.0,0.0,
Wed Jun 25 08:16:50 EDT 2014,1403698610809,0.0,0.0,
Wed Jun 25 08:16:51 EDT 2014,1403698611162,0.0,0.0,
Wed Jun 25 08:16:51 EDT 2014,1403698611392,0.0,0.0,
Wed Jun 25 08:16:51 EDT 2014,1403698611948,0.0,0.0,
Wed Jun 25 08:16:52 EDT 2014,1403698612400,0.0,0.0,
Wed Jun 25 08:16:56 EDT 2014,1403698616265,0.0,0.0,
Wed Jun 25 08:16:56 EDT 2014,1403698616402,0.0,0.0,
Wed Jun 25 08:16:56 EDT 2014,1403698616826,0.0,0.0,
Wed Jun 25 08:16:56 EDT 2014,1403698616996,0.0,0.0,
Wed Jun 25 08:16:57 EDT 2014,1403698617193,0.0,0.0,
Wed Jun 25 08:16:57 EDT 2014,1403698617351,0.0,0.0,
Wed Jun 25 08:16:57 EDT 2014,1403698617606,0.0,0.0,
Wed Jun 25 08:16:57 EDT 2014,1403698617987,0.0,0.0,
Wed Jun 25 08:16:58 EDT 2014,1403698618157,0.0,0.0,
Wed Jun 25 08:16:58 EDT 2014,1403698618661,0.0,0.0,
Wed Jun 25 08:16:58 EDT 2014,1403698618773,0.0,0.0,
Wed Jun 25 08:16:58 EDT 2014,1403698618961,0.0,0.0,
Wed Jun 25 08:16:59 EDT 2014,1403698619200,0.0,0.0,
Wed Jun 25 08:16:59 EDT 2014,1403698619355,0.0,0.0,
Wed Jun 25 08:17:00 EDT 2014,1403698620192,0.0,0.0,
Wed Jun 25 08:17:00 EDT 2014,1403698620399,0.0,0.0,
Wed Jun 25 08:17:01 EDT 2014,1403698621599,0.0,0.0,
Wed Jun 25 08:17:19 EDT 2014,1403698639888,0.0,0.0,
Wed Jun 25 08:17:25 EDT 2014,1403698645300,0.4298686981201172,0.012388333678245544,
Wed Jun 25 08:17:25 EDT 2014,1403698645454,0.4298686981201172,0.012388333678245544,
Wed Jun 25 08:17:25 EDT 2014,1403698645886,0.0,0.0,
Wed Jun 25 08:17:26 EDT 2014,1403698646115,0.0,0.0,
Wed Jun 25 08:17:26 EDT 2014,1403698646269,0.0,0.0,
Wed Jun 25 08:17:26 EDT 2014,1403698646450,0.0,0.0,
Wed Jun 25 08:17:26 EDT 2014,1403698646649,0.0,0.0,
Wed Jun 25 08:17:26 EDT 2014,1403698646842,0.0,0.0,
Wed Jun 25 08:17:27 EDT 2014,1403698647073,0.0,0.0,
Wed Jun 25 08:17:27 EDT 2014,1403698647243,0.0,0.0,
Wed Jun 25 08:17:27 EDT 2014,1403698647432,0.0,0.0,
Wed Jun 25 08:17:27 EDT 2014,1403698647643,0.0,0.0,
Wed Jun 25 08:17:27 EDT 2014,1403698647856,0.0,0.0,
Wed Jun 25 08:17:28 EDT 2014,1403698648090,0.0,0.0,
Wed Jun 25 08:17:28 EDT 2014,1403698648243,0.0,0.0,
Wed Jun 25 08:17:28 EDT 2014,1403698648438,0.0,0.0,
Wed Jun 25 08:17:28 EDT 2014,1403698648654,0.0,0.0,
Wed Jun 25 08:17:28 EDT 2014,1403698648839,0.0,0.0,
Wed Jun 25 08:17:29 EDT 2014,1403698649051,0.0,0.0,
Wed Jun 25 08:17:29 EDT 2014,1403698649245,0.0,0.0,
Wed Jun 25 08:17:29 EDT 2014,1403698649480,0.0,0.0,
Wed Jun 25 08:17:29 EDT 2014,1403698649646,0.0,0.0,
Wed Jun 25 08:17:29 EDT 2014,1403698649892,0.0,0.0,
Wed Jun 25 08:17:30 EDT 2014,1403698650048,0.0,0.0,
Wed Jun 25 08:17:30 EDT 2014,1403698650292,0.0,0.0,
Wed Jun 25 08:17:30 EDT 2014,1403698650447,0.0,0.0,
Wed Jun 25 08:17:35 EDT 2014,1403698655692,0.0,0.0,
Wed Jun 25 08:17:35 EDT 2014,1403698655845,0.0,0.0,
Wed Jun 25 08:17:41 EDT 2014,1403698661247,0.0,0.0,
Wed Jun 25 08:17:41 EDT 2014,1403698661523,0.0,0.0,
