time,ms,voltage,badData,segId, 
Wed Jun 25 08:28:25 EDT 2014,1403699305112.00,138.951,0,3, 
Wed Jun 25 08:28:26 EDT 2014,1403699306112.00,138.949,0,3, 
Wed Jun 25 08:28:27 EDT 2014,1403699307112.00,138.96,0,3, 
Wed Jun 25 08:28:28 EDT 2014,1403699308112.00,138.958,0,3, 
Wed Jun 25 08:28:29 EDT 2014,1403699309112.00,138.958,0,3, 
Wed Jun 25 08:28:30 EDT 2014,1403699310112.00,138.958,0,3, 
Wed Jun 25 08:28:31 EDT 2014,1403699311112.00,138.959,0,3, 
Wed Jun 25 08:28:32 EDT 2014,1403699312112.00,138.956,0,3, 
Wed Jun 25 08:28:33 EDT 2014,1403699313112.00,138.946,0,3, 
Wed Jun 25 08:28:34 EDT 2014,1403699314112.00,138.947,0,3, 
Wed Jun 25 08:28:35 EDT 2014,1403699315112.00,138.975,0,3, 
Wed Jun 25 08:28:36 EDT 2014,1403699316112.00,138.985,0,3, 
Wed Jun 25 08:28:37 EDT 2014,1403699317112.00,138.95,0,3, 
Wed Jun 25 08:28:38 EDT 2014,1403699318112.00,138.946,0,3, 
Wed Jun 25 08:28:39 EDT 2014,1403699321112.00,138.946,0,3, 
Wed Jun 25 08:28:40 EDT 2014,1403699322112.00,138.945,0,3, 
Wed Jun 25 08:28:41 EDT 2014,1403699323112.00,138.946,0,3, 
Wed Jun 25 08:28:42 EDT 2014,1403699324112.00,138.946,0,3, 
Wed Jun 25 08:28:43 EDT 2014,1403699325112.00,138.944,0,3, 
Wed Jun 25 08:28:44 EDT 2014,1403699326112.00,138.934,0,3, 
Wed Jun 25 08:28:45 EDT 2014,1403699330112.00,138.944,0,3, 
Wed Jun 25 08:28:46 EDT 2014,1403699331112.00,138.957,0,3, 
Wed Jun 25 08:28:47 EDT 2014,1403699336112.00,138.958,0,3, 
Wed Jun 25 08:28:48 EDT 2014,1403699337112.00,138.95,0,3, 
Wed Jun 25 08:28:49 EDT 2014,1403699338112.00,138.941,0,3, 
Wed Jun 25 08:28:50 EDT 2014,1403699339112.00,138.942,0,3, 
Wed Jun 25 08:28:51 EDT 2014,1403699340112.00,138.941,0,3, 
Wed Jun 25 08:28:52 EDT 2014,1403699341112.00,138.951,0,3, 
Wed Jun 25 08:28:53 EDT 2014,1403699342112.00,138.959,0,3, 
Wed Jun 25 08:28:54 EDT 2014,1403699343112.00,138.959,0,3, 
Wed Jun 25 08:28:55 EDT 2014,1403699344112.00,138.96,0,3, 
Wed Jun 25 08:28:56 EDT 2014,1403699345112.00,138.953,0,3, 
Wed Jun 25 08:28:57 EDT 2014,1403699346112.00,138.952,0,3, 
Wed Jun 25 08:28:58 EDT 2014,1403699347112.00,138.95,0,3, 
Wed Jun 25 08:28:59 EDT 2014,1403699348112.00,138.949,0,3, 
Wed Jun 25 08:29:00 EDT 2014,1403699349112.00,138.949,0,3, 
Wed Jun 25 08:29:01 EDT 2014,1403699350112.00,138.951,0,3, 
Wed Jun 25 08:29:02 EDT 2014,1403699352112.00,138.954,0,3, 
Wed Jun 25 08:29:03 EDT 2014,1403699353112.00,138.95,0,3, 
Wed Jun 25 08:29:04 EDT 2014,1403699354112.00,138.948,0,3, 
Wed Jun 25 08:29:05 EDT 2014,1403699355112.00,138.942,0,3, 
Wed Jun 25 08:29:06 EDT 2014,1403699356112.00,138.942,0,3, 
Wed Jun 25 08:29:07 EDT 2014,1403699358112.00,138.937,0,3, 
Wed Jun 25 08:29:08 EDT 2014,1403699359112.00,138.949,0,3, 
Wed Jun 25 08:29:09 EDT 2014,1403699360112.00,138.95,0,3, 
Wed Jun 25 08:29:10 EDT 2014,1403699361112.00,138.945,0,3, 
Wed Jun 25 08:29:11 EDT 2014,1403699362112.00,138.937,0,3, 
Wed Jun 25 08:29:12 EDT 2014,1403699363112.00,138.939,0,3, 
Wed Jun 25 08:29:13 EDT 2014,1403699364112.00,138.937,0,3, 
Wed Jun 25 08:29:14 EDT 2014,1403699365112.00,138.943,0,3, 
Wed Jun 25 08:29:15 EDT 2014,1403699366112.00,138.952,0,3, 
Wed Jun 25 08:29:16 EDT 2014,1403699367112.00,138.947,0,3, 
Wed Jun 25 08:29:17 EDT 2014,1403699368112.00,138.948,0,3, 
Wed Jun 25 08:29:18 EDT 2014,1403699369112.00,138.947,0,3, 
Wed Jun 25 08:29:19 EDT 2014,1403699370112.00,138.946,0,3, 
Wed Jun 25 08:29:20 EDT 2014,1403699371112.00,138.947,0,3, 
Wed Jun 25 08:29:21 EDT 2014,1403699372112.00,138.934,0,3, 
Wed Jun 25 08:29:22 EDT 2014,1403699373112.00,138.939,0,3, 
Wed Jun 25 08:29:23 EDT 2014,1403699374112.00,138.934,0,3, 
Wed Jun 25 08:29:24 EDT 2014,1403699375112.00,138.934,0,3, 
Wed Jun 25 08:29:25 EDT 2014,1403699376112.00,138.929,0,3, 
Wed Jun 25 08:29:26 EDT 2014,1403699377112.00,138.932,0,3, 
Wed Jun 25 08:29:27 EDT 2014,1403699378112.00,138.936,0,3, 
Wed Jun 25 08:29:28 EDT 2014,1403699379112.00,138.933,0,3, 
Wed Jun 25 08:29:29 EDT 2014,1403699380112.00,138.932,0,3, 
Wed Jun 25 08:29:30 EDT 2014,1403699381112.00,138.933,0,3, 
