time,motbus.volt,motbus.curr,motbus2.volt,motbus2.curr,motbus3.volt,motbus3.curr,motvel.motvel,motvel.vehvel,motvel2.motvel,motvel2.vehvel,motvel3.motvel,motvel3.vehvel,packvoltage_6_25.voltage,packvoltage_6_25.badData,packvoltage_6_25.segId,
1403698609000,,,1.32017,0,,,,,0,0,,,,,,
1403698610000,,,1.31735,0,,,,,0,0,,,,,,
1403698611000,,,1.30745,0,,,,,0,0,,,,,,
1403698612000,,,1.29964,0,,,,,0,0,,,,,,
1403698613000,,,35.7056,0,,,,,0,0,,,,,,
1403698614000,,,70.1117,0,,,,,0,0,,,,,,
1403698615000,,,104.518,0,,,,,0,0,,,,,,
1403698616000,,,139.031,0,,,,,0,0,,,,,,
1403698617000,,,139.165,0,,,,,0,0,,,,,,
1403698618000,,,139.234,0,,,,,0,0,,,,,,
1403698619000,,,139.256,0,,,,,0,0,,,,,,
1403698620000,,,139.319,0,,,,,0,0,,,,,,
1403698621000,,,139.326,0,,,,,0,0,,,,,,
1403698622000,,,132.898,0,,,,,0,0,,,,,,
1403698623000,,,126.47,0,,,,,0,0,,,,,,
1403698624000,,,120.043,0,,,,,0,0,,,,,,
1403698625000,,,113.615,0,,,,,0,0,,,,,,
1403698626000,,,107.187,0,,,,,0,0,,,,,,
1403698627000,,,100.759,0,,,,,0,0,,,,,,
1403698628000,,,94.3314,0,,,,,0,0,,,,,,
1403698629000,,,87.9036,0,,,,,0,0,,,,,,
1403698630000,,,81.4758,0,,,,,0,0,,,,,,
1403698631000,,,75.048,0,,,,,0,0,,,,,,
1403698632000,,,68.6201,0,,,,,0,0,,,,,,
1403698633000,,,62.1923,0,,,,,0,0,,,,,,
1403698634000,,,55.7645,0,,,,,0,0,,,,,,
1403698635000,,,49.3367,0,,,,,0,0,,,,,,
1403698636000,,,42.9089,0,,,,,0,0,,,,,,
1403698637000,,,36.4811,0,,,,,0,0,,,,,,
1403698638000,,,30.0533,0,,,,,0,0,,,,,,
1403698639000,,,23.6254,0,,,,,0,0,,,,,,
1403698640000,,,23.6555,0,,,,,0.0716448,0.00206472,,,,,,
1403698641000,,,23.6855,0,,,,,0.14329,0.00412944,,,,,,
1403698642000,,,23.7156,0,,,,,0.214934,0.00619417,,,,,,
1403698643000,,,23.7456,0,,,,,0.286579,0.00825889,,,,,,
1403698644000,,,23.7756,0,,,,,0.358224,0.0103236,,,,,,
1403698645000,,,23.8071,0,,,,,0.286579,0.00825889,,,,,,
1403698646000,,,43.907,0,,,,,0,0,,,,,,
1403698647000,,,121.926,0,,,,,0,0,,,,,,
1403698648000,,,136.841,0,,,,,0,0,,,,,,
1403698649000,,,138.818,0,,,,,0,0,,,,,,
1403698650000,,,139.189,0,,,,,0,0,,,,,,
1403698651000,,,139.37,0,,,,,0,0,,,,,,
1403698652000,,,139.377,0,,,,,0,0,,,,,,
1403698653000,,,139.384,0,,,,,0,0,,,,,,
1403698654000,,,139.391,0,,,,,0,0,,,,,,
1403698655000,,,139.401,0,,,,,0,0,,,,,,
1403698656000,,,139.401,0,,,,,0,0,,,,,,
1403698657000,,,139.398,0,,,,,0,0,,,,,,
1403698658000,,,139.395,0,,,,,0,0,,,,,,
1403698659000,,,139.392,0,,,,,0,0,,,,,,
1403698660000,,,139.388,0,,,,,0,0,,,,,,
1403698661000,,,139.382,0,,,,,0,0,,,,,,
1403698662000,,,139.396,0,,,,,0,0,,,,,,
1403698663000,,,139.395,0,,,,,0,0,,,,,,
1403698664000,,,139.402,0,,,,,0,0,,,,,,
1403698665000,,,139.402,0,,,,,0,0,,,,,,
1403698666000,,,139.404,0,,,,,0,0,,,,,,
1403698667000,,,139.412,0,,,,,0,0,,,,,,
1403698668000,,,139.41,0,,,,,0,0,,,,,,
1403698669000,,,139.409,0,,,,,0,0,,,,,,
1403698670000,,,139.408,0,,,,,0,0,,,,,,
1403698671000,,,139.406,0,,,,,0,0,,,,,,
1403698672000,,,139.41,0,,,,,0,0,,,,,,
1403698673000,,,139.417,0,,,,,0,0,,,,,,
1403698674000,,,139.42,0,,,,,0,0,,,,,,
1403698675000,,,139.422,0,,,,,0,0,,,,,,
1403698676000,,,139.425,0,,,,,0,0,,,,,,
1403698677000,,,139.427,0,,,,,0,0,,,,,,
1403698678000,,,139.433,0,,,,,0,0,,,,,,
1403698679000,,,139.455,0,,,,,0,0,,,,,,
1403698680000,,,139.452,0,,,,,0,0,,,,,,
1403698681000,,,139.428,0,,,,,0,0,,,,,,
1403698682000,,,139.439,0,,,,,0,0,,,,,,
1403698683000,,,139.458,0,,,,,0,0,,,,,,
1403698684000,,,139.451,0,,,,,0,0,,,,,,
1403698685000,,,139.444,0,,,,,0,0,,,,,,
1403698686000,,,139.437,0,,,,,0,0,,,,,,
1403698687000,,,139.43,0,,,,,0,0,,,,,,
1403698688000,,,139.423,0,,,,,0,0,,,,,,
1403698689000,,,139.423,0,,,,,0,0,,,,,,
1403698690000,,,139.423,0,,,,,0,0,,,,,,
1403698691000,,,139.423,0,,,,,0,0,,,,,,
1403698692000,,,139.422,0,,,,,0,0,,,,,,
1403698693000,,,139.422,0,,,,,0,0,,,,,,
1403698694000,,,139.424,0,,,,,0,0,,,,,,
1403698695000,,,139.446,0,,,,,0,0,,,,,,
1403698696000,,,139.437,0,,,,,0,0,,,,,,
1403698697000,,,139.416,0,,,,,0,0,,,,,,
1403698698000,,,139.429,0,,,,,0,0,,,,,,
1403698699000,,,139.413,0,,,,,0,0,,,,,,
1403698700000,,,139.416,0,,,,,0,0,,,,,,
1403698701000,,,139.419,0,,,,,0,0,,,,,,
1403698702000,,,139.422,0,,,,,0,0,,,,,,
